Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,1.3448001130218725e-63,True,Significant differences among groups
2_vs_3,2,3,0.9999999610413203,False,No significant difference
2_vs_4,2,4,0.9999928017581107,False,No significant difference
2_vs_5,2,5,0.9956918892218365,False,No significant difference
2_vs_6,2,6,0.574838243846008,False,No significant difference
2_vs_7,2,7,0.41305461631375257,False,No significant difference
2_vs_8,2,8,0.12062143792781259,False,No significant difference
2_vs_9,2,9,0.36195145661378547,False,No significant difference
2_vs_10,2,10,0.024307198908390712,False,No significant difference
2_vs_11,2,11,0.02018261282795185,False,No significant difference
2_vs_12,2,12,0.0065636173524631315,False,No significant difference
2_vs_13,2,13,0.002065008940955577,False,No significant difference
2_vs_14,2,14,0.003928049547007816,False,No significant difference
2_vs_15,2,15,1.422556830844346e-05,True,Significant difference
2_vs_16,2,16,7.004760281939525e-07,True,Significant difference
2_vs_17,2,17,1.4304432893597575e-06,True,Significant difference
2_vs_18,2,18,7.934481445529125e-08,True,Significant difference
2_vs_19,2,19,4.230620713507935e-09,True,Significant difference
2_vs_20,2,20,3.54363897154102e-09,True,Significant difference
3_vs_4,3,4,0.9999999999999986,False,No significant difference
3_vs_5,3,5,0.9999996364696244,False,No significant difference
3_vs_6,3,6,0.9741505326650813,False,No significant difference
3_vs_7,3,7,0.9311797203854577,False,No significant difference
3_vs_8,3,8,0.6678511717994441,False,No significant difference
3_vs_9,3,9,0.9091265977297707,False,No significant difference
3_vs_10,3,10,0.3337975065318209,False,No significant difference
3_vs_11,3,11,0.30400082595627004,False,No significant difference
3_vs_12,3,12,0.1657104080252296,False,No significant difference
3_vs_13,3,13,0.08353752047371078,False,No significant difference
3_vs_14,3,14,0.12305993551610406,False,No significant difference
3_vs_15,3,15,0.002876197909561651,False,No significant difference
3_vs_16,3,16,0.0003074746737246094,True,Significant difference
3_vs_17,3,17,0.0005273711638027934,True,Significant difference
3_vs_18,3,18,5.758349728969165e-05,True,Significant difference
3_vs_19,3,19,5.702536048251289e-06,True,Significant difference
3_vs_20,3,20,4.949795989244088e-06,True,Significant difference
4_vs_5,4,5,0.999999999576662,False,No significant difference
4_vs_6,4,6,0.9963158418271213,False,No significant difference
4_vs_7,4,7,0.9856273479404355,False,No significant difference
4_vs_8,4,8,0.859946820468589,False,No significant difference
4_vs_9,4,9,0.9787448146444838,False,No significant difference
4_vs_10,4,10,0.5724134038816892,False,No significant difference
4_vs_11,4,11,0.5383134967199388,False,No significant difference
4_vs_12,4,12,0.35320374524844783,False,No significant difference
4_vs_13,4,13,0.21225043356521783,False,No significant difference
4_vs_14,4,14,0.2840949693569479,False,No significant difference
4_vs_15,4,15,0.013572727291225134,False,No significant difference
4_vs_16,4,16,0.0019614627133474876,False,No significant difference
4_vs_17,4,17,0.0031435226402448508,False,No significant difference
4_vs_18,4,18,0.00044663904764242725,True,Significant difference
4_vs_19,4,19,5.624632694558811e-05,True,Significant difference
4_vs_20,4,20,4.9500870187469815e-05,True,Significant difference
5_vs_6,5,6,0.9999946841264211,False,No significant difference
5_vs_7,5,7,0.9999270473888651,False,No significant difference
5_vs_8,5,8,0.9939289056892725,False,No significant difference
5_vs_9,5,9,0.9998456935664439,False,No significant difference
5_vs_10,5,10,0.9343064166304292,False,No significant difference
5_vs_11,5,11,0.9213303694390034,False,No significant difference
5_vs_12,5,12,0.8159231090267769,False,No significant difference
5_vs_13,5,13,0.6721936361348,False,No significant difference
5_vs_14,5,14,0.7551138862756185,False,No significant difference
5_vs_15,5,15,0.14748087809363458,False,No significant difference
5_vs_16,5,16,0.039902018014043764,False,No significant difference
5_vs_17,5,17,0.055499719820028104,False,No significant difference
5_vs_18,5,18,0.013677960858666986,False,No significant difference
5_vs_19,5,19,0.002850207923458034,False,No significant difference
5_vs_20,5,20,0.002582069039778668,False,No significant difference
6_vs_7,6,7,1.0,False,No significant difference
6_vs_8,6,8,0.9999999973848616,False,No significant difference
6_vs_9,6,9,0.9999999999999999,False,No significant difference
6_vs_10,6,10,0.999992487699884,False,No significant difference
6_vs_11,6,11,0.999986547188114,False,No significant difference
6_vs_12,6,12,0.9997811834209402,False,No significant difference
6_vs_13,6,13,0.9983733721128787,False,No significant difference
6_vs_14,6,14,0.9994210392950679,False,No significant difference
6_vs_15,6,15,0.8801726254811182,False,No significant difference
6_vs_16,6,16,0.6492392505380498,False,No significant difference
6_vs_17,6,17,0.7120870589257569,False,No significant difference
6_vs_18,6,18,0.4526813494895495,False,No significant difference
6_vs_19,6,19,0.23343372050759503,False,No significant difference
6_vs_20,6,20,0.2229284453332172,False,No significant difference
7_vs_8,7,8,0.9999999999936245,False,No significant difference
7_vs_9,7,9,1.0,False,No significant difference
7_vs_10,7,10,0.9999996999189648,False,No significant difference
7_vs_11,7,11,0.9999993695641896,False,No significant difference
7_vs_12,7,12,0.9999790654490975,False,No significant difference
7_vs_13,7,13,0.9997492178240184,False,No significant difference
7_vs_14,7,14,0.9999300089620147,False,No significant difference
7_vs_15,7,15,0.9479298718850455,False,No significant difference
7_vs_16,7,16,0.7902268583281561,False,No significant difference
7_vs_17,7,17,0.8385540691595689,False,No significant difference
7_vs_18,7,18,0.6148261924418332,False,No significant difference
7_vs_19,7,19,0.37057657099129626,False,No significant difference
7_vs_20,7,20,0.35726179035659883,False,No significant difference
8_vs_9,8,9,0.9999999999995286,False,No significant difference
8_vs_10,8,10,0.9999999999994071,False,No significant difference
8_vs_11,8,11,0.9999999999968562,False,No significant difference
8_vs_12,8,12,0.9999999962859822,False,No significant difference
8_vs_13,8,13,0.9999996720341349,False,No significant difference
8_vs_14,8,14,0.9999999658558484,False,No significant difference
8_vs_15,8,15,0.9973679830157943,False,No significant difference
8_vs_16,8,16,0.970542401237473,False,No significant difference
8_vs_17,8,17,0.9815410117508309,False,No significant difference
8_vs_18,8,18,0.908528506806314,False,No significant difference
8_vs_19,8,19,0.747765014588164,False,No significant difference
8_vs_20,8,20,0.7356044591506188,False,No significant difference
9_vs_10,9,10,0.9999999151574626,False,No significant difference
9_vs_11,9,11,0.999999809224423,False,No significant difference
9_vs_12,9,12,0.999991501113635,False,No significant difference
9_vs_13,9,13,0.9998771055054222,False,No significant difference
9_vs_14,9,14,0.9999688142616971,False,No significant difference
9_vs_15,9,15,0.962294048611328,False,No significant difference
9_vs_16,9,16,0.8291124195453289,False,No significant difference
9_vs_17,9,17,0.8715748810212427,False,No significant difference
9_vs_18,9,18,0.666606890213103,False,No significant difference
9_vs_19,9,19,0.42206708980351665,False,No significant difference
9_vs_20,9,20,0.40814301814258236,False,No significant difference
10_vs_11,10,11,1.0,False,No significant difference
10_vs_12,10,12,0.9999999999999997,False,No significant difference
10_vs_13,10,13,0.9999999999923895,False,No significant difference
10_vs_14,10,14,0.9999999999999357,False,No significant difference
10_vs_15,10,15,0.9999605673856992,False,No significant difference
10_vs_16,10,16,0.9982897135053751,False,No significant difference
10_vs_17,10,17,0.9991770132849328,False,No significant difference
10_vs_18,10,18,0.9896848923927202,False,No significant difference
10_vs_19,10,19,0.9448815346123318,False,No significant difference
10_vs_20,10,20,0.9402450231081272,False,No significant difference
11_vs_12,11,12,1.0,False,No significant difference
11_vs_13,11,13,0.9999999999984309,False,No significant difference
11_vs_14,11,14,0.9999999999999923,False,No significant difference
11_vs_15,11,15,0.9999768011134622,False,No significant difference
11_vs_16,11,16,0.9988040671966544,False,No significant difference
11_vs_17,11,17,0.9994430697103118,False,No significant difference
11_vs_18,11,18,0.9921802521211077,False,No significant difference
11_vs_19,11,19,0.9547855792145962,False,No significant difference
11_vs_20,11,20,0.950785879151541,False,No significant difference
12_vs_13,12,13,1.0,False,No significant difference
12_vs_14,12,14,1.0,False,No significant difference
12_vs_15,12,15,0.9999992781536673,False,No significant difference
12_vs_16,12,16,0.9998807766246565,False,No significant difference
12_vs_17,12,17,0.9999552206812011,False,No significant difference
12_vs_18,12,18,0.9986887160682647,False,No significant difference
12_vs_19,12,19,0.9875428529225891,False,No significant difference
12_vs_20,12,20,0.986098569070123,False,No significant difference
13_vs_14,13,14,1.0,False,No significant difference
13_vs_15,13,15,0.9999999892479872,False,No significant difference
13_vs_16,13,16,0.9999918215048251,False,No significant difference
13_vs_17,13,17,0.9999976465155124,False,No significant difference
13_vs_18,13,18,0.9998328992942823,False,No significant difference
13_vs_19,13,19,0.9972112905202444,False,No significant difference
13_vs_20,13,20,0.9968005229459985,False,No significant difference
14_vs_15,14,15,0.9999998773244168,False,No significant difference
14_vs_16,14,16,0.9999621308345681,False,No significant difference
14_vs_17,14,17,0.9999872738473679,False,No significant difference
14_vs_18,14,18,0.9994587480477887,False,No significant difference
14_vs_19,14,19,0.9934493637206339,False,No significant difference
14_vs_20,14,20,0.9926016916675161,False,No significant difference
15_vs_16,15,16,0.999999999999945,False,No significant difference
15_vs_17,15,17,0.9999999999999994,False,No significant difference
15_vs_18,15,18,0.9999999995956975,False,No significant difference
15_vs_19,15,19,0.9999996256698381,False,No significant difference
15_vs_20,15,20,0.9999994879776181,False,No significant difference
16_vs_17,16,17,1.0,False,No significant difference
16_vs_18,16,18,1.0,False,No significant difference
16_vs_19,16,19,0.9999999999413711,False,No significant difference
16_vs_20,16,20,0.9999999998980921,False,No significant difference
17_vs_18,17,18,0.9999999999999934,False,No significant difference
17_vs_19,17,19,0.999999999308909,False,No significant difference
17_vs_20,17,20,0.9999999988882302,False,No significant difference
18_vs_19,18,19,0.9999999999999982,False,No significant difference
18_vs_20,18,20,0.999999999999995,False,No significant difference
19_vs_20,19,20,1.0,False,No significant difference
