Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,4.720423530783939e-55,True,Significant differences among groups
2_vs_3,2,3,0.9999995934464305,False,No significant difference
2_vs_4,2,4,0.9999844768873939,False,No significant difference
2_vs_5,2,5,0.9963760591201621,False,No significant difference
2_vs_6,2,6,0.4908019041341851,False,No significant difference
2_vs_7,2,7,0.18456167032983142,False,No significant difference
2_vs_8,2,8,0.016324914164200253,False,No significant difference
2_vs_9,2,9,3.0240172048157488e-05,True,Significant difference
2_vs_10,2,10,0.00010524344213073588,True,Significant difference
2_vs_11,2,11,9.05484611748004e-05,True,Significant difference
2_vs_12,2,12,0.0006069499262701107,True,Significant difference
2_vs_13,2,13,1.1581395786686727e-05,True,Significant difference
2_vs_14,2,14,1.4346143565807354e-05,True,Significant difference
2_vs_15,2,15,0.00010524344213073588,True,Significant difference
2_vs_16,2,16,5.179621078201792e-07,True,Significant difference
2_vs_17,2,17,1.5112910837449877e-06,True,Significant difference
2_vs_18,2,18,1.6850468099966714e-13,True,Significant difference
2_vs_19,2,19,4.132621386751578e-10,True,Significant difference
2_vs_20,2,20,1.2018872255521237e-14,True,Significant difference
3_vs_4,3,4,1.0,False,No significant difference
3_vs_5,3,5,0.9999999792485681,False,No significant difference
3_vs_6,3,6,0.9766272228755394,False,No significant difference
3_vs_7,3,7,0.8401471201802643,False,No significant difference
3_vs_8,3,8,0.3580804381049664,False,No significant difference
3_vs_9,3,9,0.00920108681294888,False,No significant difference
3_vs_10,3,10,0.020834152606398003,False,No significant difference
3_vs_11,3,11,0.01891091501811016,False,No significant difference
3_vs_12,3,12,0.061832337197713305,False,No significant difference
3_vs_13,3,13,0.004809542374257706,False,No significant difference
3_vs_14,3,14,0.005565858931725923,False,No significant difference
3_vs_15,3,15,0.020834152606398003,False,No significant difference
3_vs_16,3,16,0.000536554743734855,True,Significant difference
3_vs_17,3,17,0.001158744946157155,False,No significant difference
3_vs_18,3,18,4.691291354663035e-09,True,Significant difference
3_vs_19,3,19,2.431645343432332e-06,True,Significant difference
3_vs_20,3,20,5.362627966569477e-10,True,Significant difference
4_vs_5,4,5,0.9999999999608125,False,No significant difference
4_vs_6,4,6,0.9947685438445499,False,No significant difference
4_vs_7,4,7,0.9355598524999215,False,No significant difference
4_vs_8,4,8,0.5456433412226436,False,No significant difference
4_vs_9,4,9,0.027388469711873583,False,No significant difference
4_vs_10,4,10,0.05538606354381171,False,No significant difference
4_vs_11,4,11,0.050984804187098505,False,No significant difference
4_vs_12,4,12,0.1382169522890596,False,No significant difference
4_vs_13,4,13,0.015540759917616467,False,No significant difference
4_vs_14,4,14,0.017664462135022048,False,No significant difference
4_vs_15,4,15,0.05538606354381171,False,No significant difference
4_vs_16,4,16,0.002207570479301807,False,No significant difference
4_vs_17,4,17,0.004402859870251129,False,No significant difference
4_vs_18,4,18,4.5903928497897423e-08,True,Significant difference
4_vs_19,4,19,1.5822863618378862e-05,True,Significant difference
4_vs_20,4,20,5.936161177670717e-09,True,Significant difference
5_vs_6,5,6,0.9999702828930176,False,No significant difference
5_vs_7,5,7,0.9974900213305613,False,No significant difference
5_vs_8,5,8,0.8958787462848541,False,No significant difference
5_vs_9,5,9,0.18456167032983112,False,No significant difference
5_vs_10,5,10,0.2886890174932463,False,No significant difference
